,summary,Krise,Energiequelle,Energiewende,Folgen,word
nun weit,1.8192802477542525,-0.057957299590104615,0.13310411187036597,0.07693794084503416,0.0702436974909235,nun weit
weit der,2.599805401880281,0.13427921281087984,-0.223891530321738,-0.2800577013470699,-0.2867519447011804,weit der
der entwurf,1.8168182675803457,-0.05891445586482267,0.13445829990446945,0.07829212887913756,0.07159788552502706,der entwurf
Bundeswirtscha…,1.8130943913136204,-0.060368897779693016,0.1365100724527646,0.0803439014274327,0.07364965807332234,Bundeswirtscha…
entwurf bundeswirtscha…,1.8130943913136204,-0.060368897779693016,0.1365100724527646,0.0803439014274327,0.07364965807332234,entwurf bundeswirtscha…
+4135,1.8094002042041069,-0.06181976530878971,0.13854965500712052,0.08238348398178864,0.07568924062767811,+4135
bundeswirtscha… +4135,1.8094002042041069,-0.06181976530878971,0.13854965500712052,0.08238348398178864,0.07568924062767811,bundeswirtscha… +4135
+4135 chars,1.8081554068904018,-0.06231046277372948,0.139237853059428,0.08307168203409636,0.07637743867998571,+4135 chars
energie nur,2.6898213050266575,0.14782872682377496,-0.25792969557512213,-0.3140958666004539,-0.32079010995456464,energie nur
nur gasspeicher,3.0965262892895944,0.1976201110273581,-0.3987358648874443,-0.45490203591277606,-0.4615962792668866,nur gasspeicher
Rehden,2.734526212125964,0.1541630948027887,-0.27441312299548976,-0.3305792940208215,-0.33727353737493215,Rehden
gasspeicher rehden,2.3954152541536766,0.09887807718890584,-0.14201153313991072,-0.19817770416524264,-0.20487194751935314,gasspeicher rehden
rehden prozent,2.146659356217447,0.04430030815091331,-0.03236777947960885,-0.08853395050494064,-0.09522819385905121,rehden prozent
prozent bleib,2.1340998815662906,0.041116283166894606,-0.026499890167951,-0.08266606119328282,-0.08936030454739344,prozent bleib
Berlin/Oberpframmern,2.1912559620522334,0.05523384971676515,-0.0529298116209138,-0.10909598264624554,-0.11579022600035621,Berlin/Oberpframmern
bleib berlin/oberpframmer,2.1912559620522334,0.05523384971676515,-0.0529298116209138,-0.10909598264624554,-0.11579022600035621,bleib berlin/oberpframmer
berlin/oberpframmer der,2.6898213050266575,0.14782872682377496,-0.25792969557512213,-0.3140958666004539,-0.32079010995456464,berlin/oberpframmer der
gasspeicherverband geh,2.8673451948140536,0.17160858507660562,-0.32184151597469496,-0.3780076870000267,-0.38470193035413724,gasspeicherverband geh
geh davon,2.758334847420253,0.15743705313872802,-0.2830821150345751,-0.3392482860599068,-0.3459425294140175,geh davon
davon november,2.0789054571932493,0.026538825430293213,-0.0002964662323500723,-0.056462637257681914,-0.06315688061179248,davon november
einziger,2.0089204162140786,0.006561194829354157,0.0339475950574399,-0.02221857596789185,-0.028912819322002507,einziger
november einzig,2.0089204162140786,0.006561194829354157,0.0339475950574399,-0.02221857596789185,-0.028912819322002507,november einzig
einzig erdgasspeicher,2.024524164396157,0.011170373242734597,0.026210374072837352,-0.0299557969524945,-0.03665004030660525,einzig erdgasspeicher
erdgasspeicher deutschland,3.121154399097086,0.2001517216759053,-0.40665786662500397,-0.4628240376503358,-0.4695182810044463,erdgasspeicher deutschland
deutschland weniger,2.1750663240057917,0.051330277923379394,-0.04551409139750926,-0.10168026242284098,-0.10837450577695162,deutschland weniger
Lediglich,2.3542364750314744,0.09082840511029214,-0.12467139400154142,-0.1808375650268733,-0.1875318083809838,Lediglich
weniger lediglich,2.3542364750314744,0.09082840511029214,-0.12467139400154142,-0.1808375650268733,-0.1875318083809838,weniger lediglich
lediglich gasspeicher,3.0965262892895944,0.1976201110273581,-0.3987358648874443,-0.45490203591277606,-0.4615962792668866,lediglich gasspeicher
gasspeicher bleib,2.3954152541536766,0.09887807718890584,-0.14201153313991072,-0.19817770416524264,-0.20487194751935314,gasspeicher bleib
bleib kommend,2.22878309402683,0.06400832159320431,-0.06991067230502877,-0.12607684333036062,-0.13277108668447135,bleib kommend
Monat,2.6737755358612265,0.14549339279777013,-0.2519464654741276,-0.3081126364994594,-0.3148068798535699,Monat
kommend monat,2.3062902712679594,0.08100626705708439,-0.10409522397667173,-0.16026139500200365,-0.16695563835611424,kommend monat
monat weniger,2.1750663240057917,0.051330277923379394,-0.04551409139750926,-0.10168026242284098,-0.10837450577695162,monat weniger
weniger prozent,2.146659356217447,0.04430030815091331,-0.03236777947960885,-0.08853395050494064,-0.09522819385905121,weniger prozent
füll zumindest,2.289141097850007,0.07736881951205518,-0.09663161429611518,-0.15279778532144683,-0.1594920286755575,füll zumindest
zumindest geb,2.506128578818854,0.11892483703973349,-0.18719409707108003,-0.24336026809641187,-0.2500545114505223,zumindest geb
geb gasspeicherverband,3.0965262892895944,0.1976201110273581,-0.3987358648874443,-0.45490203591277606,-0.4615962792668866,geb gasspeicherverband
bekannt,3.134934478110374,-0.1833375956360834,-0.4110632072682126,0.8870450916929551,-0.473923621647655,bekannt
gasspeicherverband bekannt,2.373934570592729,0.09472194312711138,-0.1330036685050178,-0.1891698395303497,-0.1958640828844603,gasspeicherverband bekannt
November…,2.0789054571932493,0.026538825430293213,-0.0002964662323500723,-0.056462637257681914,-0.06315688061179248,November…
+1298,2.039226238268577,0.015429737531996812,0.018974625534766767,-0.037191545490564935,-0.04388578884467543,+1298
november… +1298,2.039226238268577,0.015429737531996812,0.018974625534766767,-0.037191545490564935,-0.04388578884467543,november… +1298
+1298 chars,2.0217805266601387,0.010366617455845321,0.027566494467111888,-0.028599676558220086,-0.0352939199123305,+1298 chars
leitzins geldpolitik,1.9127542770781056,-0.024037956607024732,0.08300083325824435,0.026834662232912396,0.020140418878801976,leitzins geldpolitik
